trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.25, 'e': 0.99}",20,0,-151.51541486641221,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
2,False,"{'a': 0.25, 'e': 0.9801}",20,0,-52.295651848578046,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
3,False,"{'a': 0.25, 'e': 0.9702989999999999}",20,0,-150.96056947608784,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.25, 'e': 0.96059601}",20,0,-113.4612780622127,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.25, 'e': 0.9509900498999999}",20,0,-134.41043464765747,"{0: 12, 1: 4, 2: 1, 3: 0, 4: 3}",0
6,False,"{'a': 0.25, 'e': 0.9414801494009999}",20,0,-74.08106975052269,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
7,False,"{'a': 0.25, 'e': 0.9320653479069899}",20,0,-86.01173031360786,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.25, 'e': 0.92274469442792}",30,1,-131.61771286734208,"{0: 18, 1: 3, 2: 5, 3: 1, 4: 2}",1
9,False,"{'a': 0.25, 'e': 0.9135172474836407}",35,0,-148.82193831891817,"{0: 21, 1: 4, 2: 8, 3: 0, 4: 2}",0
10,False,"{'a': 0.25, 'e': 0.9043820750088043}",20,0,-54.810990888209915,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.25, 'e': 0.8953382542587163}",20,0,-139.1810190184873,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
12,False,"{'a': 0.25, 'e': 0.8863848717161291}",20,2,-45.821185005861174,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 0}",1
13,False,"{'a': 0.25, 'e': 0.8775210229989678}",20,0,-70.76630027767455,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
14,False,"{'a': 0.25, 'e': 0.8687458127689781}",30,0,-103.21468511324393,"{0: 21, 1: 2, 2: 4, 3: 2, 4: 1}",0
15,False,"{'a': 0.25, 'e': 0.8600583546412883}",30,0,-124.84156501114693,"{0: 18, 1: 5, 2: 4, 3: 2, 4: 1}",0
16,False,"{'a': 0.25, 'e': 0.8514577710948754}",25,20,6.161319044205319,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.25, 'e': 0.8429431933839266}",25,0,-130.88815627711367,"{0: 16, 1: 2, 2: 2, 3: 4, 4: 1}",0
18,False,"{'a': 0.25, 'e': 0.8345137614500874}",20,0,-98.74128716845188,"{0: 8, 1: 5, 2: 6, 3: 1, 4: 0}",0
19,False,"{'a': 0.25, 'e': 0.8261686238355865}",20,0,-42.06946242222192,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
20,False,"{'a': 0.25, 'e': 0.8179069375972307}",35,0,-129.40404371453639,"{0: 25, 1: 1, 2: 7, 3: 0, 4: 2}",1
21,False,"{'a': 0.25, 'e': 0.8097278682212583}",25,0,-77.631993767165,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
22,False,"{'a': 0.25, 'e': 0.8016305895390458}",25,1,-113.99077188220959,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 1}",1
23,False,"{'a': 0.25, 'e': 0.7936142836436553}",25,0,-83.77034282442482,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
24,False,"{'a': 0.25, 'e': 0.7856781408072188}",25,0,-117.94240552754839,"{0: 13, 1: 5, 2: 3, 3: 4, 4: 0}",0
25,False,"{'a': 0.25, 'e': 0.7778213593991465}",30,0,-210.92421011401007,"{0: 16, 1: 5, 2: 5, 3: 0, 4: 4}",0
26,False,"{'a': 0.25, 'e': 0.7700431458051551}",20,0,-78.36590454484767,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
27,False,"{'a': 0.25, 'e': 0.7623427143471035}",25,0,-79.74045874150013,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
28,False,"{'a': 0.25, 'e': 0.7547192872036325}",30,0,-89.87155668834437,"{0: 20, 1: 3, 2: 4, 3: 3, 4: 0}",0
29,False,"{'a': 0.25, 'e': 0.7471720943315961}",20,0,-74.7055760415682,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
30,False,"{'a': 0.25, 'e': 0.7397003733882802}",20,0,-37.3095985616939,"{0: 13, 1: 5, 2: 1, 3: 1, 4: 0}",0
31,False,"{'a': 0.25, 'e': 0.7323033696543974}",20,0,-102.23067659612593,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
32,False,"{'a': 0.25, 'e': 0.7249803359578534}",20,0,-71.77601009997531,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
33,False,"{'a': 0.25, 'e': 0.7177305325982748}",20,0,-45.99173757455772,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
34,False,"{'a': 0.25, 'e': 0.7105532272722921}",20,0,-256.98041050976764,"{0: 8, 1: 1, 2: 6, 3: 0, 4: 5}",0
35,False,"{'a': 0.25, 'e': 0.7034476949995692}",25,9,-171.63686903233577,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 4}",1
36,False,"{'a': 0.25, 'e': 0.6964132180495735}",20,0,-120.71352373848079,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
37,False,"{'a': 0.25, 'e': 0.6894490858690777}",25,2,-66.87237191551824,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 1}",1
38,False,"{'a': 0.25, 'e': 0.682554595010387}",30,0,-65.02039037471924,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
39,False,"{'a': 0.25, 'e': 0.6757290490602831}",25,3,17.922827842432415,"{0: 20, 1: 2, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.25, 'e': 0.6689717585696803}",25,0,-82.71882498234051,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
41,False,"{'a': 0.25, 'e': 0.6622820409839835}",25,0,-47.17688309296918,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
42,False,"{'a': 0.25, 'e': 0.6556592205741436}",25,13,20.064541325250854,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.25, 'e': 0.6491026283684022}",30,8,-25.03611589265875,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 0}",1
44,False,"{'a': 0.25, 'e': 0.6426116020847181}",20,0,-110.59533915896318,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
45,False,"{'a': 0.25, 'e': 0.6361854860638709}",30,4,-29.167895483272932,"{0: 20, 1: 2, 2: 3, 3: 1, 4: 0}",1
46,False,"{'a': 0.25, 'e': 0.6298236312032323}",25,7,-78.20539248570182,"{0: 9, 1: 5, 2: 3, 3: 0, 4: 1}",1
47,False,"{'a': 0.25, 'e': 0.6235253948912}",20,6,-26.4075016692319,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
48,False,"{'a': 0.25, 'e': 0.617290140942288}",25,9,8.482399485974945,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
49,False,"{'a': 0.25, 'e': 0.6111172395328651}",20,3,-109.69570635628749,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 2}",1
50,False,"{'a': 0.25, 'e': 0.6050060671375365}",20,0,-54.12878738491632,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
51,False,"{'a': 0.25, 'e': 0.5989560064661611}",25,0,-34.73634042935791,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
52,False,"{'a': 0.25, 'e': 0.5929664464014994}",30,0,-71.30605697051371,"{0: 20, 1: 4, 2: 4, 3: 2, 4: 0}",0
