trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-190.1876592782337,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.17235831442714,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-109.55017329372704,"{0: 16, 1: 6, 2: 6, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-206.7664899225464,"{0: 15, 1: 4, 2: 6, 3: 3, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-206.76250965704395,"{0: 12, 1: 1, 2: 9, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-86.33265820811435,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.35131290660911,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-124.60044492349849,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.01905912030165,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-118.17611660905787,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-125.75191177133252,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,5,-24.874350509341514,"{0: 11, 1: 2, 2: 1, 3: 1, 4: 0}",1
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-219.77491197063242,"{0: 10, 1: 3, 2: 8, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,20,8.397375439832494,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-106.42352877566975,"{0: 18, 1: 7, 2: 3, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-212.38972283225635,"{0: 10, 1: 4, 2: 8, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-140.89854133780906,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-123.37978324832496,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-25.218955328347107,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-143.159556513183,"{0: 13, 1: 5, 2: 5, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-146.36808033970425,"{0: 11, 1: 3, 2: 2, 3: 2, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-56.28794031601351,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-190.87904876449068,"{0: 15, 1: 1, 2: 4, 3: 2, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-127.42167410084522,"{0: 17, 1: 5, 2: 6, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-76.42344071160286,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-52.56087662490371,"{0: 12, 1: 6, 2: 1, 3: 1, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-137.1431911768402,"{0: 18, 1: 5, 2: 3, 3: 3, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-74.66779807333768,"{0: 9, 1: 4, 2: 7, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-143.14574455453177,"{0: 13, 1: 5, 2: 3, 3: 3, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-113.44496669887072,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
